
さくらと一郎 昭和枯れすゝき
布施明 シクラメンのかほり
小坂恭子 想い出まくら
沢田研二 時の過ぎゆくままに
ダウン・タウン・ブギウギ・バンド 港のヨーコ・ヨコハマ・ヨコスカ／カッコマン・ブギ
岩崎宏美 ロマンス
風 22才の別れ
細川たかし 心のこり
かまやつひろし 我が良き友よ
山口百恵 冬の色
桜田淳子 はじめての出来事
ダウン・タウン・ブギウギ・バンド スモーキン' ブギ
バンバン 『いちご白書』をもう一度
野口五郎 私鉄沿線
八代亜紀 おんなの夢
中村雅俊 いつか街で会ったなら
西川峰子 あなたにあげる
桜田淳子 十七の夏
アグネス・チャン 愛の迷い子
西崎みどり 旅愁
クラフト 僕にまかせてください
黒沢年男 やすらぎ
野口五郎 哀しみの終るとき
五木ひろし 千曲川
しまざき由理 面影
敏いとうとハッピー＆ブルー わたし祈ってます
小柳ルミ子 冬の駅
西城秀樹 恋の暴走
桜田淳子 ひとり歩き
野口五郎 夕立ちのあとで
徳久広司 北へ帰ろう
山口百恵 夏ひらく青春
カーペンターズ プリーズ・ミスター・ポストマン
野口五郎 甘い生活
八代亜紀 ともしび
伊藤咲子 木枯しの二人
増沢末夫 さらばハイセイコー
西城秀樹 この愛のときめき
西城秀樹 涙と友情
坂上二郎 学校の先生
内山田洋とクール・ファイブ 中の島ブルース
キャンディーズ 年下の男の子
桜田淳子 天使のくちびる
山口百恵 湖の決心
甲斐バンド 裏切りの街角
郷ひろみ 誘われてフラメンコ
郷ひろみ 花のように鳥のように
殿さまキングス おんなの運命
萩原健一 お前に惚れた
カーペンターズ オンリー・イエスタデイ
