
子門真人 およげ!たいやきくん
ダニエル・ブーン ビューティフル・サンデー
都はるみ 北の宿から
太田裕美 木綿のハンカチーフ
二葉百合子 岸壁の母
中村雅俊 俺たちの旅
あおい輝彦 あなただけを
山口百恵 横須賀ストーリー
因幡晃 わかって下さい
荒井由実 あの日にかえりたい
イルカ なごり雪
田中星児 オー・マリヤーナ／ビューティフル・サンデー
太田裕美 赤いハイヒール
小椋佳 めまい
斎藤こず恵 山口さんちのツトム君
山口百恵 愛に走って／赤い運命
岩崎宏美 センチメンタル
山口百恵 パールカラーにゆれて
ホット・ブラッド ソウル・ドラキュラ
岩崎宏美 ファンタジー
キャンディーズ 春一番
桜田淳子 夏にご用心
山口百恵 白い約束／山鳩
内藤やす子 弟よ
ジャニス・イアン ラヴ・イズ・ブラインド
西城秀樹 君よ抱かれて熱くなれ
小椋佳 揺れるまなざし
野口五郎 針葉樹
グレープ 無縁坂
岩崎宏美 未来
バンバン 『いちご白書』をもう一度
シグナル 20歳のめぐり逢い
野口五郎 きらめき
松本ちえこ 恋人試験
五木ひろし 愛の始発
桜田淳子 ねえ!気がついてよ
布施明 傾いた道しるべ
トランザム ビューティフル・サンデー
桜田淳子 ゆれてる私
ミス花子 河内のオッサンの唄
中村雅俊 盆帰り
のこいのこ パタパタママ
荒井由実 翳りゆく部屋
井上陽水 青空、ひとりきり
布施明 落葉が雪に
研ナオコ あばよ
郷ひろみ あなたがいたから僕がいた
西城秀樹 ジャガー
岩崎宏美 霧のめぐり逢い
川橋啓史 山口さんちのツトム君
