
あみん 待つわ
薬師丸ひろ子 セーラー服と機関銃
岩崎宏美 聖母たちのララバイ
中村雅俊 心の色
細川たかし 北酒場
中島みゆき 悪女
近藤真彦 ハイティーン・ブギ
サザンオールスターズ チャコの海岸物語
近藤真彦 情熱☆熱風☽せれなーで
近藤真彦 ふられてBANZAI
松田聖子 渚のバルコニー
松田聖子 赤いスイートピー
Sugar ウエディング・ベル
郷ひろみ 哀愁のカサブランカ
松田聖子 小麦色のマーメイド
Johnny ジェームス・ディーンのように
中島みゆき 誘惑
大橋純子 シルエット・ロマンス
ザ・タイガース 色つきの女でいてくれよ
忌野清志郎+坂本龍一 い・け・な・いルージュマジック
一風堂 すみれ September Love
山下久美子 赤道小町ドキッ
田原俊彦 原宿キッス
来生たかお 夢の途中
嶋大輔 男の勲章
近藤真彦 ホレたぜ! 乾杯
田原俊彦 君に薔薇薔薇…という感じ
田原俊彦 NINJIN娘
アン・ルイス ラ・セゾン
山本譲二 みちのくひとり旅
矢沢永吉 YES MY LOVE (愛はいつも)
Johnny $百萬BABY
渡辺徹 約束
中森明菜 少女A
高樹澪 ダンスはうまく踊れない
もんた＆ブラザーズ デザイアー
近藤真彦 ギンギラギンにさりげなく
アラジン 完全無欠のロックンローラー
バーティ・ヒギンズ カサブランカ
サザンオールスターズ 匂艶 THE NIGHT CLUB
松田聖子 野ばらのエチュード
嶋大輔 暗闇をぶっとばせ
シブがき隊 100%…SOかもね!
田原俊彦 誘惑スレスレ
柏原よしえ ハロー・グッバイ
沢田研二 おまえにチェックイン
増田けい子 すずめ
中島みゆき 横恋慕
シブがき隊 NAI・NAI 16
三原順子 だってフォーリンラブ突然
