
千昌夫 星影のワルツ
ザ・フォーク・クルセダーズ 帰って来たヨッパライ
ピンキーとキラーズ 恋の季節
鶴岡雅義と東京ロマンチカ 小樽のひとよ
伊東ゆかり 恋のしずく
ザ・タイガース 花の首飾り／銀河のロマンス
サイモン&ガーファンクル サウンド・オブ・サイレンス
小川知子 ゆうべの秘密
ビージーズ マサチューセッツ
ザ・タイガース シー・シー・シー
青江三奈 伊勢佐木町ブルース
津山洋子・大木英夫 新宿そだち
森進一 盛り場ブルース
パープルシャドウズ 小さなスナック
中井昭・高橋勝とコロラティーノ 思案橋ブルース
ザ・テンプターズ エメラルドの伝説
黒木憲 霧にむせぶ夜
黛ジュン 天使の誘惑
ザ・テンプターズ 神様お願い
黛ジュン 夕月
ザ・タイガース 君だけに愛を
森進一 花と蝶
中村晃子 虹色の湖
美川憲一 釧路の夜
黒沢明とロス・プリモス 雨の銀座
伊東ゆかり 星を見ないで
西田佐知子 涙のかわくまで
黒沢明とロス・プリモス ラブユー東京
ザ・ダーツ ケメ子の歌
黛ジュン 乙女の祈り
森進一 命かれても
黒沢明とロス・プリモス たそがれの銀座
布施明 愛の園
モンキーズ デイドリーム
オックス ガール・フレンド
ジャッキー吉川とブルーコメッツ こころの虹
ザ・フォーク・クルセダーズ 悲しくてやりきれない
1910フルーツガム・カンパニー サイモンセッズ
ザ・ワイルドワンズ バラの恋人
北島三郎 薩摩の女
佐良直美 世界は二人のために
モンキーズ すてきなバレリ
ザ・タイガース 廃虚の鳩
ロス・インディオス 知りすぎたのね
オーティス・レディング ドック・オブ・ベイ
鶴岡雅義と東京ロマンチカ 旅路のひとよ
ザ・テンプターズ おかあさん
ビートルズ ヘイ・ジュード
ザ・ゴールデン・カップス 長い髪の少女
モンキーズ モンキーズのテーマ
