
由紀さおり 夜明けのスキャット
森進一 港町ブルース
いしだあゆみ ブルー・ライト・ヨコハマ
ピンキーとキラーズ 恋の季節
皆川おさむ 黒ネコのタンゴ
森山良子 禁じられた恋
青江三奈 池袋の夜
内山田洋とクール・ファイブ 長崎は今日も雨だった
カルメン・マキ 時には母のない子のように
青江三奈 長崎ブルース
ザ・キング・トーンズ グッド・ナイト・ベイビー
はしだのりひことシューベルツ 風
ピンキーとキラーズ 涙の季節
森進一 年上の女
奥村チヨ 恋の奴隷
鶴岡雅義と東京ロマンチカ 君は心の妻だから
メリー・ホプキン 悲しき天使
弘田三枝子 人形の家
佐川満男 今は幸せかい
北島三郎 仁義
伊東ゆかり 知らなかったの
佐良直美 いいじゃないの幸せならば
トワ・エ・モワ 或る日突然
ジリオラ・チンクェッティ 雨
ヒデとロザンナ 愛の奇跡
ザ・タイガース 青い鳥
ピンキーとキラーズ 七色のしあわせ
小川知子 初恋のひと
森進一 おんな
ピンキー＆フェラス マンチェスターとリバプール
浅丘ルリ子 愛の化石
黛ジュン 雲にのりたい
新谷のり子 フランシーヌの場合
フィフス・ディメンション 輝く星座
ブルーベル・シンガーズ 昭和ブルース
水前寺清子 三百六十五歩のマーチ（ワン・ツー・パンチ）
ゼーガー＆エバンス 西暦2525年
アン真理子 悲しみは駈け足でやってくる
ザ・タイガース Smile For Me
フランシス・レイ・オーケストラ 白い恋人たち
ゾンビーズ 二人のシーズン
ザ・タイガース 美しき愛の掟
ジャッキー吉川とブルーコメッツ さよならのあとで
オックス スワンの涙
ザ・ドリフターズ ミヨちゃん
黛ジュン 夕月
中山千夏 あなたの心に
千昌夫 君がすべてさ
いしだあゆみ 今日からあなたと
サウンドトラック ロミオとジュリエット
