
皆川おさむ 黒ネコのタンゴ
ザ・ドリフターズ ドリフのズンドコ節
藤圭子 圭子の夢は夜ひらく
藤圭子 女のブルース
内山田洋とクール・ファイブ 逢わずに愛して
由紀さおり 手紙
ヒデとロザンナ 愛は傷つきやすく
菅原洋一 今日でお別れ
ショッキング・ブルー ヴィーナス
渚ゆう子 京都の恋
ベッツィ＆クリス 白い色は恋人の色
岸洋子 希望
辺見マリ 経験
内山田洋とクール・ファイブ 噂の女
森山加代子 白い蝶のサンバ
青江三奈 国際線待合室
森進一 波止場女のブルース
藤圭子 命預けます
森進一 恋ひとすじ
ジェリー・ウォレス 男の世界
いしだあゆみ あなたならどうする
ちあきなおみ 四つのお願い
内山田洋とクール・ファイブ 愛の旅路を
森進一 花と涙
ザ・オリジナル・キャスト ミスター・マンデイ
ソルティー・シュガー 走れコウタロー
藤圭子 新宿の女
ジミー・オズモンド ちっちゃな恋人
1910フルーツガム・カンパニー トレイン
青江三奈 池袋の夜
姿憲子 姿三四郎
ビートルズ レット・イット・ビー
サイモン＆ガーファンクル コンドルは飛んでいく
森山良子 恋人
ハーブ・アルパート＆ティファナブラス マルタ島の砂
日吉ミミ 男と女のお話
長谷川きよし 別れのサンバ
黛ジュン 自由の女神
ザ・ドリフターズ ドリフのほんとにほんとにご苦労さん
弘田三枝子 私が死んだら
クリフ・リチャード しあわせの朝
サイモン＆ガーファンクル 明日に架ける橋
フランシス・レイ・オーケストラ 雨の訪問者
千賀かほる 真夜中のギター
左卜全とひまわりキティーズ 老人と子供のポルカ
野村真樹 一度だけなら
いしだあゆみ 喧嘩のあとでくちづけを
安倍律子 愛のきずな
ビートルズ カム・トゥゲザー
奥村チヨ 恋狂い
