
宮史郎とぴんからトリオ 女のみち
小柳ルミ子 瀬戸の花嫁
ビリーバンバン さよならをするために
よしだたくろう 旅の宿
平田隆夫とセルスターズ 悪魔がにくい
天地真理 ひとりじゃないの
小柳ルミ子 京のにわか雨
ペドロ＆カプリシャス 別れの朝
天地真理 ちいさな恋
青い三角定規 太陽がくれた季節
石橋正次 夜明けの停車場
欧陽菲菲 雨の御堂筋
天地真理 虹をわたって
よしだたくろう 結婚しようよ
チェリッシュ ひまわりの小径
尾崎紀世彦 愛する人はひとり
麻丘めぐみ 芽ばえ
三善英史 雨
森田健作 友達よ泣くんじゃない
アンディ・ウィリアムス ゴッドファーザー 愛のテーマ
奥村チヨ 終着駅
ニール・リード ママに捧げる詩
橋幸夫 子連れ狼
ハニー・ナイツ ふりむかないで
ポップ・トップス マミー・ブルー
朱里エイコ 北国行きで
沢田研二 許されない愛
南沙織 純潔
天地真理 水色の恋
森昌子 せんせい
欧陽菲菲 雨のエア・ポート
山本リンダ どうにもとまらない
内山田洋とクール・ファイブ この愛に生きて
上條恒彦 出発の歌
欧陽菲菲 夜汽車
欧陽菲菲 恋の追跡 (ラブ・チェイス)
あがた森魚 赤色エレジー
ザ・ニュー・シーカーズ 愛するハーモニー
石橋正次 鉄橋をわたると涙がはじまる
五木ひろし 待っている女
森進一 波止場町
小柳ルミ子 お祭りの夜
平田隆夫とセルスターズ ハチのムサシは死んだのさ
沢田研二 あなただけでいい
小柳ルミ子 わたしの城下町
上條恒彦 だれかが風の中で
小柳ルミ子 雪あかりの町
尾崎紀世彦 こころの炎燃やしただけで／愛のテーマ (ゴッドファーザー)ゴッドファーザー ～愛のテーマ
カーペンターズ スーパースター
南沙織 哀愁のページ
