
渥美二郎 夢追い酒
ジュディ・オング 魅せられて
小林幸子 おもいで酒
さだまさし 関白宣言
千昌夫 北国の春
ゴダイゴ ガンダーラ
西城秀樹 YOUNG MAN (Y.M.C.A.)
アリス チャンピオン
牧村三枝子 みちづれ
ピンク・レディー カメレオン・アーミー
サザンオールスターズ いとしのエリー
水谷豊 カリフォルニア・コネクション
甲斐バンド HERO（ヒーローになる時、それは今）
ゴダイゴ 銀河鉄道999 (THE GALAXY EXPRESS 999)
岸田智史 きみの朝
金田たつえ 花街の母
ゴダイゴ MONKEY MAGIC
桑名正博 セクシャルバイオレットNo.1
ゴダイゴ ビューティフル・ネーム
山口百恵 いい日旅立ち
サーカス アメリカン・フィーリング
さとう宗幸 青葉城恋唄
円広志 夢想花
松山千春 季節の中で
ツイスト 燃えろいい女
沢田研二 カサブランカ・ダンディ
村木賢吉 おやじの海
松山千春 窓
西城秀樹 ホップ・ステップ・ジャンプ
南こうせつ 夢一夜
レイフ・ギャレット ダンスに夢中
八神純子 みずいろの雨
松坂慶子 愛の水中花
山口百恵 美・サイレント
チューリップ 虹とスニーカーの頃
山口百恵 愛の嵐
ツイスト 性
さだまさし 親父の一番長い日
アリス 夢去りし街角
布施明 君は薔薇より美しい
さだまさし 天までとどけ
敏いとうとハッピー＆ブルー よせばいいのに
ヴィレッジ・ピープル Y.M.C.A.
ピンク・レディー ピンク・タイフーン (In The Navy)
柳ジョージ＆レイニーウッド 微笑の法則
松山千春 夜明け
沢田研二 OH! ギャル
ピンク・レディー ジパング
サザンオールスターズ 気分しだいで責めないで
西城秀樹 勇気があれば
