
わらべ もしも明日が…。
安全地帯 ワインレッドの心
松田聖子 Rock'n Rouge
チェッカーズ 涙のリクエスト
チェッカーズ 哀しくてジェラシー
中森明菜 十戒 (1984)
芦屋雁之助 娘よ
チェッカーズ 星屑のステージ
中森明菜 北ウイング
中森明菜 サザン・ウインド
ALFEE 星空のディスタンス
小林麻美 雨音はショパンの調べ
薬師丸ひろ子 メイン・テーマ
五木ひろし 長良川艶歌
松田聖子 時間の国のアリス
石川優子とチャゲ ふたりの愛ランド
松田聖子 ピンクのモーツァルト
欧陽菲菲 ラヴ・イズ・オーヴァー
杏里 悲しみがとまらない
チェッカーズ ギザギザハートの子守唄
小泉今日子 迷宮のアンドローラ／DUNK
吉川晃司 モニカ
高橋真梨子 桃色吐息
小柳ルミ子 お久しぶりね
小泉今日子 渚のはいから人魚／風のマジカル
近藤真彦 ケジメなさい
原田知世 愛情物語
松田聖子 瞳はダイアモンド／蒼いフォトグラフ
オフコース 君が、嘘を、ついた
ALFEE STARSHIP -光を求めて-
田原俊彦 チャールストンにはまだ早い
渥美二郎 釜山港へ帰れ
近藤真彦 一番野郎
一世風靡セピア 前略、道の上より
小泉今日子 ヤマトナデシコ七変化
サザンオールスターズ ミス・ブランニュー・デイ (MISS BRAND-NEW DAY)
MIE NEVER／おつだね
飯島真理 愛・おぼえていますか
都はるみ・岡千秋 浪花恋しぐれ
木村友衛 浪花節だよ人生は
田原俊彦 騎士道
テレサ・テン つぐない
シブがき隊 喝!
田原俊彦 顔に書いた恋愛小説（ロマンス）
杉山清貴＆オメガトライブ 君のハートはマリンブルー
田原俊彦 エル・オー・ヴイ・愛・N・G
五木ひろし 細雪
小泉今日子 艶姿ナミダ娘
近藤真彦 永遠に秘密さ
中原めいこ 君たちキウイ・パパイア・マンゴーだね。
